condition,iteration,macro_f1_mean,macro_f1_sd,acc_mean,acc_sd,n_seeds
naive,0,0.37037037037037035,0.04625924443258074,0.43333333333333335,0.05773502691896256,3
few_shot,0,0.4474074074074074,0.18962384250428674,0.5333333333333333,0.15275252316519464,3
self_critique,0,0.35365079365079366,0.10601130874229751,0.43333333333333335,0.11547005383792516,3
self_critique,1,0.19011544011544013,0.06924794635582238,0.26666666666666666,0.05773502691896256,3
self_critique,2,0.3382539682539683,0.1828412278127049,0.39999999999999997,0.17320508075688773,3
realism_only,0,0.29915343915343917,0.10353117059022683,0.4,0.1,3
realism_only,1,0.2962962962962963,0.006415002990995851,0.4,0.0,3
realism_only,2,0.23566137566137568,0.030410533331379594,0.3,0.0,3
diversity_only,0,0.28253968253968254,0.07534250340511629,0.3666666666666667,0.057735026918962595,3
diversity_only,1,0.25666666666666665,0.182056157392285,0.33333333333333337,0.20816659994661327,3
diversity_only,2,0.3731216931216931,0.22089794378967118,0.4333333333333333,0.2309401076758503,3
full_classic,0,0.24888888888888888,0.1500123451710015,0.33333333333333337,0.11547005383792516,3
full_classic,1,0.25333333333333335,0.1702286044640494,0.3666666666666667,0.15275252316519466,3
full_classic,2,0.29883597883597884,0.07898724878568376,0.3666666666666667,0.057735026918962595,3
full_attrforge,0,0.2411111111111111,0.10823499810511764,0.33333333333333337,0.11547005383792516,3
full_attrforge,1,0.24740740740740738,0.03335801555317837,0.3666666666666667,0.057735026918962595,3
full_attrforge,2,0.4444444444444444,0.10715167512214394,0.5333333333333333,0.05773502691896256,3
